scenario_id,route,mode,vmt,vht,max_num_of_vehicle_tod
87,1,Local Bus,1291.663348,122.1566915,10
87,2,Local Bus,847.043649,94.29556246,8
87,3,Local Bus,1301.503966,146.481565,12
87,4,Local Bus,750.828222,58.5269558,4
87,5,Local Bus,567.340486,52.5782278,4
87,6,Local Bus,494.809972,46.95792717,4
87,7,Local Bus,1943.816276,192.0965585,16
87,8,Local Bus,550.135968,41.87869115,4
87,9,Local Bus,539.09448,40.46065455,4
87,10,Express Bus,1221.739524,108.2623193,9
87,11,Local Bus,2653.446028,263.5355341,22
87,13,Local Bus,1572.01806,124.6448835,10
87,14,Local Bus,253.85019,20.49710257,2
87,18,Local Bus,194.331358,12.46960803,2
87,20,Express Bus,2133.380114,128.0567875,13
87,25,Local Bus,352.170611,25.35250406,3
87,27,Local Bus,501.162,42.02784075,4
87,28,Local Bus,257.0101937,23.42964937,3
87,30,Local Bus,2691.29874,189.6175868,14
87,31,Local Bus,213.385146,16.46396357,4
87,35,Local Bus,374.18969,34.9289566,4
87,41,Local Bus,1585.959896,107.1915224,11
87,44,Local Bus,1463.058488,118.9625702,10
87,50,Express Bus,626.766862,40.47029222,5
87,60,Express Bus,231.750429,13.28041443,3
87,83,Local Bus,148.602654,16.13294905,2
87,84,Local Bus,146.6408275,9.206004567,2
87,88,Local Bus,157.604908,11.19348547,1
87,101,Local Bus,1652.016945,91.32431885,8
87,105,Local Bus,659.5446,49.46031987,4
87,110,Express Bus,168.668126,7.869184489,2
87,115,Local Bus,668.979598,43.46916113,4
87,120,Express Bus,1051.80072,91.74654018,8
87,150,Express Bus,1394.370742,66.13256345,8
87,201,Arterial Rapid,525.906537,41.34369468,3
87,202,Arterial Rapid,541.465902,44.56118025,4
87,204,Arterial Rapid,200.429312,16.04826557,2
87,215,Arterial Rapid,1536.022683,127.6142333,11
87,235,Freeway Rapid,4220.67017,139.3662281,12
87,237,Freeway Rapid,789.5948397,46.53632967,8
87,276,Local Bus,613.02512,41.8560308,4
87,288,Freeway Rapid,654.015471,17.97534718,3
87,290,Freeway Rapid,651.089532,19.6123464,4
87,302,Local Bus,1207.859439,79.97314085,6
87,303,Local Bus,1741.6872,125.3823936,10
87,304,Local Bus,552.6815472,35.54048206,6
87,305,Local Bus,892.838592,54.80004827,4
87,306,Local Bus,642.413925,36.79351303,4
87,308,Local Bus,579.953235,25.39260284,2
87,309,Local Bus,1513.683014,97.96996797,8
87,311,Local Bus,185.6101607,11.17371097,2
87,313,Local Bus,266.323252,18.66313796,2
87,315,Local Bus,423.734272,18.66164629,2
87,316,Local Bus,125.317374,7.939927483,1
87,318,Local Bus,405.16233,27.59465038,2
87,323,Local Bus,100.8755215,9.079421488,2
87,325,Local Bus,563.570753,44.66613675,4
87,332,Local Bus,943.247463,66.23821477,7
87,334,Local Bus,144.3505275,11.20032709,1
87,335,Local Bus,71.7273765,5.645453163,1
87,347,Local Bus,263.269445,19.11821788,2
87,350,Arterial Rapid,788.73088,50.74919365,4
87,351,Local Bus,295.017872,25.80312826,2
87,352,Local Bus,296.123406,25.55555508,2
87,353,Local Bus,334.688506,26.12981155,3
87,354,Local Bus,335.901608,24.4575679,2
87,355,Local Bus,137.664856,9.974595242,1
87,356,Local Bus,145.600224,10.33504197,1
87,357,Local Bus,123.883552,9.038115558,1
87,358,Local Bus,70.825314,5.650318875,1
87,359,Local Bus,70.825314,5.653082192,1
87,371,Local Bus,218.0481225,9.050950526,2
87,388,Local Bus,517.512672,19.70234224,2
87,389,Local Bus,362.174416,8.593106575,2
87,392,Local Bus,201.965673,11.80480583,2
87,395,Local Bus,186.054705,3.010073228,2
87,398,Commuter Rail,929.9133935,23.68861381,4
87,399,Light Rail,1409.024128,56.93882027,4
87,444,Local Bus,32.303609,1.792674506,1
87,445,Local Bus,87.08298083,5.912389897,2
87,446,Local Bus,16.75780733,1.044960789,1
87,510,Light Rail,3088.10936,144.577881,12
87,520,Light Rail,2461.195872,128.7690672,8
87,530,Light Rail,3386.10216,153.924897,10
87,701,Local Bus,950.972176,75.14525793,6
87,704,Local Bus,796.428221,60.44502352,7
87,705,Local Bus,371.240232,24.48803736,4
87,707,Local Bus,119.85989,7.023665108,2
87,709,Express Bus,142.5002873,8.404447225,2
87,709,Local Bus,1830.593349,120.5350918,14
87,712,Local Bus,926.375417,62.21482553,7
87,815,Local Bus,265.363456,23.19719362,2
87,816,Local Bus,398.92797,29.35259072,4
87,832,Local Bus,90.698634,6.130338675,1
87,833,Local Bus,237.2264593,17.45732215,2
87,834,Local Bus,59.1228125,4.063269961,1
87,848,Local Bus,506.087968,36.0245451,4
87,851,Local Bus,187.826587,9.927623175,2
87,854,Local Bus,332.299468,17.03797926,4
87,855,Local Bus,282.47826,19.71436203,2
87,856,Local Bus,1039.084225,65.57343518,6
87,864,Local Bus,897.777013,50.3644976,6
87,870,Premium Express Bus,116.5159783,5.865395022,2
87,871,Local Bus,93.789008,7.4852654,1
87,872,Local Bus,93.789008,7.535532025,1
87,874,Local Bus,338.02524,24.18180517,2
87,875,Local Bus,326.757732,23.18265427,2
87,901,Local Bus,1889.805197,112.0023695,10
87,904,Local Bus,48.62373,4.048694742,2
87,905,Local Bus,660.9263105,30.20744196,4
87,906,Local Bus,432.6918,37.34241693,3
87,907,Local Bus,432.6918,37.1755351,3
87,916,Local Bus,262.141568,20.74462353,2
87,917,Local Bus,221.0230905,17.36895822,2
87,921,Local Bus,536.800394,45.39103983,4
87,923,Local Bus,464.790144,43.64020012,4
87,928,Local Bus,568.05216,41.34347163,4
87,929,Local Bus,2054.863006,185.2993322,14
87,932,Local Bus,1354.307912,110.2530771,8
87,933,Local Bus,1156.587662,81.88766862,6
87,934,Local Bus,1148.480939,80.86845065,6
87,936,Local Bus,537.487556,41.98798928,4
87,944,Local Bus,384.84754,27.30946138,3
87,945,Local Bus,655.25909,46.69639236,5
87,950,Express Bus,316.7424975,7.83028915,1
87,955,Local Bus,1266.990584,107.8962661,8
87,961,Local Bus,742.468488,55.91731145,6
87,962,Local Bus,490.21437,36.61600218,4
87,963,Local Bus,320.401628,25.83353803,2
87,964,Local Bus,401.467864,34.05863775,4
87,965,Local Bus,147.2241945,14.13242142,2
87,967,Local Bus,140.15256,11.01818965,1
87,968,Local Bus,162.374704,12.24290733,1
87,972,Local Bus,62.69425067,5.652196511,1
87,973,Local Bus,78.18968733,4.873687844,1
87,978,Local Bus,61.65524733,4.686071722,1
87,979,Local Bus,51.87983667,4.442255856,1
87,992,Local Bus,466.648766,48.36928873,4
